BASE_PRECINCT,WINNER_CANDIDATE_16,WINNER_PARTY_16,MARGIN_PERCENTPOINTS_16,VOTE_SHARE_WINNER_16,WINNER_TEXT_16,CT_WINNER_CANDIDATE_16,CT_WINNER_PARTY_16,CT_WINNER_TEXT_16,LOCATION,TOTAL_POP,RACE,PARTISANSHIP,DEMOCRAT_SHARE,REPUBLICAN_SHARE,WHITE_SHARE,BLACK_SHARE,HISPANIC_SHARE,OTHER_SHARE,MUNICIPALITY
139,Patrick Murphy (DEM),DEM,74.27,85.45,Patrick Murphy (DEM) won with 85.4% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Griffing Senior Citizens Center,1202,Majority Black,Heavily Democrat,66.1,7.3,7.5,62.1,22.5,7.9,North Miami
140,Patrick Murphy (DEM),DEM,75.24,86.51,Patrick Murphy (DEM) won with 86.5% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Haitian Evangelical Baptist Church,3003,Majority Black,Heavily Democrat,68.3,6,4.1,69,18.3,8.6,North Miami
141,Patrick Murphy (DEM),DEM,77.49,88.06,Patrick Murphy (DEM) won with 88.1% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,North Miami Public Library,2073,Majority Black,Heavily Democrat,66.2,6.5,5.2,69.4,16.6,8.8,Unincorporated M-D
142,Patrick Murphy (DEM),DEM,62.79,80.25,Patrick Murphy (DEM) won with 80.3% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Shalom Community Church,3520,Majority Black,Heavily Democrat,62.8,9,11.4,52.6,26.9,9,North Miami
143,Patrick Murphy (DEM),DEM,64.66,81.21,Patrick Murphy (DEM) won with 81.2% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,First Church of North Miami,3428,Other,Heavily Democrat,59.7,8.8,11.7,48.8,30.1,9.4,North Miami
144,Patrick Murphy (DEM),DEM,72.47,84.27,Patrick Murphy (DEM) won with 84.3% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Stanton Memorial Baptist Church,258,Majority Black,Heavily Democrat,69,6.6,5.4,65.9,21.7,7,Unincorporated M-D
145,Patrick Murphy (DEM),DEM,82.16,90.38,Patrick Murphy (DEM) won with 90.4% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Natural Bridge Elementary School,602,Majority Black,Heavily Democrat,68.4,4.5,4.2,76.9,10.1,8.8,North Miami
146,Patrick Murphy (DEM),DEM,21.64,59.60,Patrick Murphy (DEM) won with 59.6% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Keystone Park Community Center,3432,Other,Other,38.5,23.7,39.3,7.7,43.8,9.2,North Miami
148,Patrick Murphy (DEM),DEM,22.96,60.47,Patrick Murphy (DEM) won with 60.5% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Miami-Dade County Fire Station #20,2697,Other,Other,37.8,22.4,35.7,10.9,44,9.4,North Miami
149,Patrick Murphy (DEM),DEM,28.72,63.75,Patrick Murphy (DEM) won with 63.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Biscayne Shores and Gardens Park,2386,Majority White,Other,47.4,20.2,55.6,7,29.4,8,Unincorporated M-D
150,Patrick Murphy (DEM),DEM,71.19,84.55,Patrick Murphy (DEM) won with 84.6% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Biscayne Shores and Gardens Park,731,Majority Black,Heavily Democrat,63.9,6.6,7.7,61.1,22.3,8.9,Unincorporated M-D
151,Patrick Murphy (DEM),DEM,54.03,76.36,Patrick Murphy (DEM) won with 76.4% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Ed Burke Recreation Center,490,Other,Heavily Democrat,53.7,13.7,35.1,18,35.5,11.4,Biscayne Park
152,Patrick Murphy (DEM),DEM,61.84,79.57,Patrick Murphy (DEM) won with 79.6% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,North Miami Seventh Day Adventist Church,1779,Other,Heavily Democrat,59.9,10,16.8,42.7,28.8,11.7,Unincorporated M-D
153,Patrick Murphy (DEM),DEM,58.23,78.48,Patrick Murphy (DEM) won with 78.5% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Stanton Memorial Baptist Church,92,Majority Black,Heavily Democrat,75,4.3,2.2,69.6,22.8,5.4,Unincorporated M-D
154,Patrick Murphy (DEM),DEM,57.74,77.83,Patrick Murphy (DEM) won with 77.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Hubert O. Sibley K-8 Academy,1597,Other,Heavily Democrat,56.7,11.6,22.5,33.3,28.9,15.3,Miami Shores
155,Patrick Murphy (DEM),DEM,53.78,75.76,Patrick Murphy (DEM) won with 75.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Miami Shores Elementary School,1561,Other,Heavily Democrat,54.3,12.3,31.7,21.4,35.2,11.7,Miami Shores
156,Patrick Murphy (DEM),DEM,35.94,66.76,Patrick Murphy (DEM) won with 66.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Miami Shores Christian Church,1735,Majority White,Heavily Democrat,50.8,17.4,52.2,8.1,29.6,10.1,Miami Shores
157,Patrick Murphy (DEM),DEM,19.36,58.66,Patrick Murphy (DEM) won with 58.7% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,C. Lawton McCall Community Center,1534,Majority White,Other,40.9,24.4,56.7,4.6,27.8,10.9,Miami Shores
158,Patrick Murphy (DEM),DEM,41.30,68.84,Patrick Murphy (DEM) won with 68.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Phyllis R. Miller Elementary School,367,Other,Other,45.5,20.2,45,9.8,36.5,8.7,Miami Shores
159,Patrick Murphy (DEM),DEM,68.66,83.18,Patrick Murphy (DEM) won with 83.2% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,El Portal Village Hall,1570,Other,Heavily Democrat,63.2,9.9,23.2,37.8,29.4,9.6,El Portal
160,Patrick Murphy (DEM),DEM,66.88,82.14,Patrick Murphy (DEM) won with 82.1% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Stanton Memorial Baptist Church,1188,Majority Black,Heavily Democrat,65.7,8.8,6.1,64.1,18.7,11.1,Unincorporated M-D
161,Patrick Murphy (DEM),DEM,66.47,82.02,Patrick Murphy (DEM) won with 82% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Horace Mann Middle School,1708,Majority Black,Heavily Democrat,66.3,7.6,5.6,60.1,27.7,6.7,Unincorporated M-D
162,Patrick Murphy (DEM),DEM,71.02,84.19,Patrick Murphy (DEM) won with 84.2% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Edison West Little River Community Resource Center,1692,Majority Black,Heavily Democrat,69.7,6,2.3,67.4,23.7,6.6,Unincorporated M-D
163,Patrick Murphy (DEM),DEM,73.23,85.54,Patrick Murphy (DEM) won with 85.5% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Stanton Memorial Baptist Church,1275,Majority Black,Heavily Democrat,69.4,7.1,4.4,68.5,19,8.2,Unincorporated M-D
164,Patrick Murphy (DEM),DEM,67.49,82.42,Patrick Murphy (DEM) won with 82.4% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,W.J. Bryan Elementary School,1974,Majority Black,Heavily Democrat,62.6,9.2,10.9,51.5,26.1,11.5,Unincorporated M-D
165,Patrick Murphy (DEM),DEM,42.99,69.68,Patrick Murphy (DEM) won with 69.7% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Biscayne Shores and Gardens Park,226,Other,Heavily Democrat,50.4,15,26.1,29.6,35,9.3,North Miami
166,Patrick Murphy (DEM),DEM,65.57,81.15,Patrick Murphy (DEM) won with 81.1% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Uleta Community Center,418,Majority Black,Heavily Democrat,67,11,5.5,64.1,21.1,9.3,Unincorporated M-D
167,Patrick Murphy (DEM),DEM,10.30,53.64,Patrick Murphy (DEM) won with 53.6% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Goulds Church of Christ,1329,Majority Hispanic,Other,33.3,28.1,11.6,12,69.8,6.7,Unincorporated M-D
168,Patrick Murphy (DEM),DEM,31.47,64.39,Patrick Murphy (DEM) won with 64.4% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Goulds Church of Christ,4032,Majority Hispanic,Other,39,23.1,5.8,17.7,69.5,7,Unincorporated M-D
169,Patrick Murphy (DEM),DEM,54.83,75.57,Patrick Murphy (DEM) won with 75.6% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Biscayne Shores and Gardens Park,500,Other,Heavily Democrat,50.2,11.8,20.2,29.2,37.8,12.8,North Miami
170,Patrick Murphy (DEM),DEM,5.56,44.44,Patrick Murphy (DEM) won with 44.4% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Biscayne Shores and Gardens Park,17,Other,Heavily Democrat,70.6,5.9,41.2,29.4,17.6,11.8,North Miami
171,Patrick Murphy (DEM),DEM,59.77,77.01,Patrick Murphy (DEM) won with 77% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Biscayne Shores and Gardens Park,128,Other,Other,46.9,17.2,21.1,23.4,42.2,13.3,North Miami
172,Patrick Murphy (DEM),DEM,82.17,90.70,Patrick Murphy (DEM) won with 90.7% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Sunkist Grove Community Center,178,Majority Black,Heavily Democrat,76.4,3.4,1.7,74.2,15.7,8.4,Unincorporated M-D
173,Patrick Murphy (DEM),DEM,87.97,93.67,Patrick Murphy (DEM) won with 93.7% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Greater Miami Church of God,264,Majority Black,Heavily Democrat,77.7,5.7,4.2,80.7,9.5,5.7,Unincorporated M-D
174,Patrick Murphy (DEM),DEM,75.47,86.79,Patrick Murphy (DEM) won with 86.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Miami Union Academy,170,Majority Black,Heavily Democrat,65.9,8.2,5.9,58.8,27.1,8.2,Unincorporated M-D
175,Patrick Murphy (DEM),DEM,45.77,71.14,Patrick Murphy (DEM) won with 71.1% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Biscayne Shores and Gardens Park,260,Other,Heavily Democrat,56.2,13.8,11.9,32.3,45,10.8,North Miami
176,Patrick Murphy (DEM),DEM,53.27,75.39,Patrick Murphy (DEM) won with 75.4% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,W.J. Bryan Elementary School,539,Other,Heavily Democrat,52.7,12.6,13.4,30.6,44.5,11.5,North Miami
177,Patrick Murphy (DEM),DEM,36.58,66.31,Patrick Murphy (DEM) won with 66.3% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Ed Burke Recreation Center,1642,Other,Other,48.4,17.1,44.8,7.7,36.7,10.8,Biscayne Park
178,Patrick Murphy (DEM),DEM,75.48,86.78,Patrick Murphy (DEM) won with 86.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Henry Reeves Elementary School,1167,Majority Black,Heavily Democrat,65.9,10.8,2.3,63.6,27.7,6.4,Unincorporated M-D
179,Patrick Murphy (DEM),DEM,25.71,61.76,Patrick Murphy (DEM) won with 61.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,C. Lawton McCall Community Center,596,Other,Other,46.6,19,47.1,8.2,34.4,10.2,Miami Shores
181,Patrick Murphy (DEM),DEM,13.37,56.44,Patrick Murphy (DEM) won with 56.4% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,C. Lawton McCall Community Center,243,Majority White,Other,37.9,26.7,51.9,7,32.9,8.2,Unincorporated M-D
182,Patrick Murphy (DEM),DEM,54.10,75.94,Patrick Murphy (DEM) won with 75.9% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Griffing Senior Citizens Center,1009,Other,Heavily Democrat,59.2,11,14.3,46,30.5,9.2,North Miami
184,Patrick Murphy (DEM),DEM,7.62,52.72,Patrick Murphy (DEM) won with 52.7% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Aventura Community Recreation Center,2923,Majority White,Other,34.8,24.4,58.3,2.9,30,8.8,Aventura
187,Patrick Murphy (DEM),DEM,70.74,85.11,Patrick Murphy (DEM) won with 85.1% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Griffing Senior Citizens Center,267,Majority Black,Heavily Democrat,65.5,11.6,6.7,59.9,22.8,10.5,North Miami
191,Marco Rubio (REP),REP,3.21,50.70,Marco Rubio (REP) won with 50.7% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Jack D. Gordon Elementary School Main Campus,1025,Majority Hispanic,Other,33.8,34.7,12,12.7,67.4,7.9,Unincorporated M-D
196,Patrick Murphy (DEM),DEM,83.81,91.19,Patrick Murphy (DEM) won with 91.2% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Universal Truth Center,3352,Majority Black,Heavily Democrat,71.1,5.6,2.4,77.4,13.3,6.9,Miami Gardens
198,Patrick Murphy (DEM),DEM,12.67,54.83,Patrick Murphy (DEM) won with 54.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Miami First Church of the Nazarene,1693,Majority Hispanic,Other,34.1,26.9,6.1,5.7,80.4,7.7,Unincorporated M-D
199,Patrick Murphy (DEM),DEM,59.94,78.96,Patrick Murphy (DEM) won with 79% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Lake Park Condominium,1137,Other,Heavily Democrat,51.7,12,21.8,39.3,28.8,10,Unincorporated M-D
200,Marco Rubio (REP),REP,3.24,50.31,Marco Rubio (REP) won with 50.3% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Eureka Villas Park,2659,Majority Hispanic,Other,29.4,30.2,4.7,4.7,83,7.7,Unincorporated M-D
201,Patrick Murphy (DEM),DEM,17.91,58.14,Patrick Murphy (DEM) won with 58.1% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Royal Country Community - Sun Homes,2346,Majority Hispanic,Other,36.3,26.2,5.6,4.7,81.2,8.5,Unincorporated M-D
202,Patrick Murphy (DEM),DEM,42.70,70.51,Patrick Murphy (DEM) won with 70.5% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Royal Country Community - Sun Homes,2234,Majority Hispanic,Other,48.7,22.2,4.6,35.1,52.7,7.6,Miami Gardens
203,Patrick Murphy (DEM),DEM,86.24,92.08,Patrick Murphy (DEM) won with 92.1% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,North County K-8 Center,2828,Majority Black,Heavily Democrat,74.4,6.4,0.8,78.3,15,5.9,Miami Gardens
205,Patrick Murphy (DEM),DEM,85.77,92.17,Patrick Murphy (DEM) won with 92.2% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Robert Renick Educational Center,2008,Majority Black,Heavily Democrat,73.1,4.5,1.7,79.3,11.8,7.2,Miami Gardens
206,Patrick Murphy (DEM),DEM,85.48,92.21,Patrick Murphy (DEM) won with 92.2% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Norland United Methodist Church,2514,Majority Black,Heavily Democrat,71.9,5.6,4.3,79.6,6.9,9.2,Miami Gardens
207,Patrick Murphy (DEM),DEM,62.42,80.19,Patrick Murphy (DEM) won with 80.2% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Ro-Mont South Rec Hall,3847,Other,Heavily Democrat,57.9,9.9,14.8,44.2,29.9,11.1,Unincorporated M-D
208,Patrick Murphy (DEM),DEM,46.00,71.79,Patrick Murphy (DEM) won with 71.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Lake Park Condominium,3184,Other,Other,48.8,14.8,25.1,26.9,38.2,9.9,Unincorporated M-D
209,Patrick Murphy (DEM),DEM,64.83,81.24,Patrick Murphy (DEM) won with 81.2% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Madie Ives K-8 Preparatory Academy,4226,Majority Black,Heavily Democrat,62,8.4,10.4,51.9,28.4,9.2,Unincorporated M-D
210,Patrick Murphy (DEM),DEM,66.59,82.52,Patrick Murphy (DEM) won with 82.5% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Dr. Michael M. Krop Senior High School,1841,Majority Black,Heavily Democrat,62.3,10.3,11.8,51.7,25.2,11.4,Unincorporated M-D
212,Patrick Murphy (DEM),DEM,73.76,85.44,Patrick Murphy (DEM) won with 85.4% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Visitation Catholic Church,2550,Majority Black,Heavily Democrat,69,6.9,5.1,70.2,15.6,9.1,Unincorporated M-D
213,Patrick Murphy (DEM),DEM,83.86,91.12,Patrick Murphy (DEM) won with 91.1% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Parkway Elementary School,2949,Majority Black,Heavily Democrat,71.5,4.9,1.7,78,13,7.3,Miami Gardens
214,Patrick Murphy (DEM),DEM,86.17,92.32,Patrick Murphy (DEM) won with 92.3% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Sierra Norwood Calvary Baptist Church,2846,Majority Black,Heavily Democrat,72.8,5.1,1.9,79.1,11.3,7.6,Miami Gardens
215,Patrick Murphy (DEM),DEM,82.45,90.67,Patrick Murphy (DEM) won with 90.7% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Sierra Norwood Calvary Baptist Church,2702,Majority Black,Heavily Democrat,72.9,6.1,3.7,75.8,11.7,8.8,Miami Gardens
216,Patrick Murphy (DEM),DEM,86.62,92.83,Patrick Murphy (DEM) won with 92.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Miami Norland Senior High School,3008,Majority Black,Heavily Democrat,75.3,4.4,1.6,80.8,10.7,6.9,Miami Gardens
217,Patrick Murphy (DEM),DEM,86.37,92.27,Patrick Murphy (DEM) won with 92.3% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Scott Lake Elementary School,2218,Majority Black,Heavily Democrat,74.6,4.6,1.7,80.9,10.9,6.5,Miami Gardens
218,Patrick Murphy (DEM),DEM,88.46,93.00,Patrick Murphy (DEM) won with 93% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,North Dade Middle School,1504,Majority Black,Heavily Democrat,77.7,4.9,1.1,79.7,14,5.3,Miami Gardens
219,Patrick Murphy (DEM),DEM,83.54,91.16,Patrick Murphy (DEM) won with 91.2% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Bunche Park Elementary School,1233,Majority Black,Heavily Democrat,70.9,7.9,1.5,73.2,20.1,5.1,Miami Gardens
221,Patrick Murphy (DEM),DEM,88.80,93.83,Patrick Murphy (DEM) won with 93.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Parkview Elementary School,2365,Majority Black,Heavily Democrat,76.4,5.3,1.8,82.1,10.7,5.5,Miami Gardens
222,Patrick Murphy (DEM),DEM,89.99,94.33,Patrick Murphy (DEM) won with 94.3% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Scott Lake Elementary School,2438,Majority Black,Heavily Democrat,78.1,4.3,1.6,83.9,8.4,6.1,Miami Gardens
223,Patrick Murphy (DEM),DEM,80.83,89.77,Patrick Murphy (DEM) won with 89.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Cosmopolitan Baptist Church,2353,Majority Black,Heavily Democrat,70.9,6.4,1.7,70.9,17.3,10,Miami Gardens
224,Patrick Murphy (DEM),DEM,72.14,85.09,Patrick Murphy (DEM) won with 85.1% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Miami Carol City Senior High,2131,Majority Black,Heavily Democrat,66.5,10.9,1.7,60.5,31.4,6.4,Miami Gardens
225,Patrick Murphy (DEM),DEM,79.23,88.73,Patrick Murphy (DEM) won with 88.7% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Myrtle Grove Presbyterian Church,2811,Majority Black,Heavily Democrat,67.7,9,1.8,66.4,24.9,6.9,Miami Gardens
226,Patrick Murphy (DEM),DEM,83.44,90.67,Patrick Murphy (DEM) won with 90.7% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Golden Glades Elementary School,1967,Majority Black,Heavily Democrat,72.1,7,2,73.4,18.2,6.4,Miami Gardens
227,Patrick Murphy (DEM),DEM,74.89,86.75,Patrick Murphy (DEM) won with 86.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,A. J. King Park,2493,Majority Black,Heavily Democrat,64.8,10.9,1.6,60.1,32.2,6.1,Miami Gardens
